,product_name,url,current_price,old_price,stars,material,type,total_reviews,avg_rating,material_clean,material_clean_list,five_stars,four_stars,three_stars,two_stars,one_stars
0,Swiftly Tech Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2/_/prod9750543,78,78,"['330', '109', '62', '75', '71']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,647,3.8531684698608966,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",330,109,62,75,71
1,lululemon Align™ Tank *Diamond Dye,https://shop.lululemon.com/p/women-tanks/Align-Tank-Diamond-Dye/_/prod10000326,64,64,"['1058', '282', '161', '90', '65']","['89% Nylon', '11% Elastane', '80% Nylon', '20% Lycra® elastane']",women-tanks,1656,4.315217391304348,"['Elastane', 'Lycra® elastane', 'Nylon']","Elastane,Lycra® elastane,Nylon",1058,282,161,90,65
2,lululemon Align™ Tank,https://shop.lululemon.com/p/women-tanks/Align-Tank/_/prod9600539,58,58,"['1058', '282', '161', '90', '65']",['None listed'],women-tanks,1656,4.315217391304348,['None listed'],None listed,1058,282,161,90,65
3,Blissful Bend Tank Top,https://shop.lululemon.com/p/women-tanks/Blissful-Bend-Tank-Top/_/prod10190150,68,68,"['1', '1', '1', '1', '0']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '81% Nylon', '19% Lycra® elastane']",women-tanks,4,3.5,"['Coolmax® polyester', 'Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Elastane,Lycra® elastane,Nylon,Polyester",1,1,1,1,0
4,Gather and Grow Tank,https://shop.lululemon.com/p/women-tanks/Gather-and-Grow-Tank/_/prod10400588,54,54,"['0', '1', '1', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,2,3.5,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",0,1,1,0,0
5,Gather and Grow Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Gather-and-Grow-Long-Sleeve/_/prod10390404,80,80,"['0', '0', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,0,0.0,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",0,0,0,0,0
6,Ever Ready Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve/_/prod9960686,58,58,"['31', '4', '4', '3', '0']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,42,4.5,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",31,4,4,3,0
7,Back In Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls/_/prod8555454,58,58,"['462', '65', '56', '76', '72']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,731,4.051983584131327,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",462,65,56,76,72
8,LA Back in Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/LA-Back-in-Action-Long-Sleeve/_/prod9750526,58,58,"['5', '1', '1', '1', '1']","['92% Pima cotton', '6% Lycra® elastane', '1% Polyester', '1% Viscose']",tops-long-sleeve,9,3.888888888888889,"['Lycra® elastane', 'Pima cotton', 'Polyester', 'Viscose']","Lycra® elastane,Pima cotton,Polyester,Viscose",5,1,1,1,1
9,Rest Less Pullover,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover/_/prod5020032,88,88,"['306', '78', '46', '57', '55']","['78% Nylon', '18% Polyester', '4% Elastane']",tops-long-sleeve,542,3.9649446494464944,"['Elastane', 'Nylon', 'Polyester']","Elastane,Nylon,Polyester",306,78,46,57,55
