level,type,url
1,leggings,https://shop.lululemon.com/c/womens-leggings/_/N-8s6
1,coats_jackets,https://shop.lululemon.com/c/jackets-and-hoodies-jackets/_/N-8s2
2,dresses,https://shop.lululemon.com/c/skirts-and-dresses-dresses/_/N-8s3
1,hoodies_sweatshirts,https://shop.lululemon.com/c/womens-outerwear/_/N-8s4
2,joggers,https://shop.lululemon.com/c/womens-joggers/_/N-8s7
1,pants,https://shop.lululemon.com/c/women-pants/_/N-7w0
1,shirts,https://shop.lululemon.com/c/women-maintops/_/N-815
2,shorts,https://shop.lululemon.com/c/women-shorts/_/N-7we
2,skirts,https://shop.lululemon.com/c/skirts-and-dresses-skirts/_/N-8sb
3,socks,https://shop.lululemon.com/c/women-socks/_/N-8sg
3,sportsbras,https://shop.lululemon.com/c/women-sports-bras/_/N-7vl
3,sweaters,https://shop.lululemon.com/c/women-sweaters-and-wraps/_/N-8se
3,swimsuits,https://shop.lululemon.com/c/tops-swim/_/N-8sf
3,underwear,https://shop.lululemon.com/c/women-underwear/_/N-8sd

